DATEenvoi;cardkey;Lot;Typquest;Satisfaction;Recommandation;Detracteur;Neutre;Promoteur;week;CA
2017-01;109;2;1;2;8;0;1;0;01/01/2017;108.9600307
2017-01;330;3;5;2;7;0;1;0;01/01/2017;95.30229726
2017-01;127;3;5;1;10;0;0;1;01/01/2017;117.3871207
2017-01;429;3;5;2;9;0;0;1;01/01/2017;122.4128875
2017-01;274;2;1;1;7;0;1;0;01/01/2017;104.1155332
2017-01;82;3;5;1;10;0;0;1;01/01/2017;125.033492
2017-01;384;1;2;1;10;0;0;1;01/01/2017;121.4411471
2017-01;115;3;5;2;10;0;0;1;01/01/2017;136.7015169
2017-01;128;2;1;2;8;0;1;0;01/01/2017;109.5755834
2017-01;343;3;5;3;4;1;0;0;01/01/2017;88.96865266
2017-01;250;2;1;2;8;0;1;0;01/01/2017;96.3802973
2017-01;286;3;5;3;4;1;0;0;01/01/2017;56.5575765
2017-01;429;2;1;2;8;0;1;0;01/01/2017;109.5538571
2017-01;105;1;1;2;7;0;1;0;01/01/2017;107.4341458
2017-01;108;2;1;2;7;0;1;0;01/01/2017;93.81232979
2017-01;160;1;2;1;10;0;0;1;01/01/2017;119.8928515
2017-01;43;1;2;1;10;0;0;1;01/01/2017;135.0718969
2017-01;335;3;5;1;9;0;0;1;01/01/2017;143.7105499
2017-01;81;2;1;2;8;0;1;0;01/01/2017;93.51851819
2017-01;122;1;2;2;9;0;0;1;01/01/2017;129.4799969
2017-01;107;3;5;3;1;1;0;0;01/01/2017;94.00578655
2017-01;401;2;1;1;10;0;0;1;01/01/2017;153.2729028
2017-01;93;2;1;2;9;0;0;1;01/01/2017;120.7962136
2017-01;329;3;5;2;9;0;0;1;01/01/2017;144.1877102
2017-01;313;1;2;1;7;0;1;0;01/01/2017;95.44659208
2017-01;486;1;1;4;4;1;0;0;01/01/2017;63.65872426
2017-01;241;1;2;1;10;0;0;1;01/01/2017;151.3131258
2017-01;283;2;1;2;9;0;0;1;01/01/2017;116.2119772
2017-01;469;1;3;1;10;0;0;1;01/01/2017;110.2811164
2017-01;317;1;3;1;7;0;1;0;01/01/2017;100.931762
2017-01;142;2;1;3;4;1;0;0;01/01/2017;56.59585906
2017-01;11;3;5;1;10;0;0;1;01/01/2017;147.4764881
2017-01;481;2;1;1;8;0;1;0;01/01/2017;105.8665306
2017-01;128;2;1;2;10;0;0;1;01/01/2017;136.8334779
2017-01;452;3;5;2;8;0;1;0;01/01/2017;100.1539841
2017-01;263;1;3;3;3;1;0;0;01/01/2017;77.27517487
2017-01;133;1;3;2;9;0;0;1;01/01/2017;119.7275374
2017-01;359;2;1;2;8;0;1;0;01/01/2017;98.38047274
2017-01;391;2;1;4;3;1;0;0;01/01/2017;61.75750676
2017-01;20;3;5;2;7;0;1;0;01/01/2017;91.41251622
2017-01;187;3;5;2;8;0;1;0;01/01/2017;95.30722364
2017-01;108;3;5;1;7;0;1;0;01/01/2017;106.6315372
2017-01;308;1;3;1;8;0;1;0;01/01/2017;100.3730186
2017-01;333;3;5;2;9;0;0;1;01/01/2017;121.7719057
2017-01;57;1;2;1;8;0;1;0;01/01/2017;100.4995564
